experiment_id,dgp_id,repetition,menu_family_content_failure,stage_upper_noncoverage_family,any_diagnostic_triggered,nominal_all_stage_supported,unsafe_nominal_pass,unsafe_pipeline_upgrade,event_inclusion_violations
e01-tds1,IID,0,False,False,False,False,False,False,0
e01-tds1,IID,1,False,False,False,False,False,False,0
e01-tds1,IID,2,False,False,False,True,False,False,0
e01-tds1,IID,3,False,False,False,False,False,False,0
e01-tds1,IID,4,False,False,False,True,False,False,0
e01-tds1,IID,5,False,False,False,False,False,False,0
e01-tds1,IID,6,False,False,False,False,False,False,0
e01-tds1,IID,7,False,False,False,True,False,False,0
e01-tds1,IID,8,False,False,False,False,False,False,0
e01-tds1,IID,9,False,False,False,False,False,False,0
e01-tds1,IID,10,False,False,False,False,False,False,0
e01-tds1,IID,11,False,False,False,False,False,False,0
e01-tds1,IID,12,False,False,False,False,False,False,0
e01-tds1,IID,13,False,False,False,True,False,False,0
e01-tds1,IID,14,False,False,False,False,False,False,0
e01-tds1,IID,15,False,False,False,False,False,False,0
e01-tds1,IID,16,False,False,False,False,False,False,0
e01-tds1,IID,17,False,False,False,False,False,False,0
e01-tds1,IID,18,False,False,False,False,False,False,0
e01-tds1,IID,19,False,False,False,False,False,False,0
e01-tds1,IID,20,False,False,False,False,False,False,0
e01-tds1,IID,21,False,False,False,True,False,False,0
e01-tds1,IID,22,False,False,False,False,False,False,0
e01-tds1,IID,23,False,False,False,False,False,False,0
e01-tds1,IID,24,False,False,False,False,False,False,0
e01-tds1,IID,25,False,False,False,False,False,False,0
e01-tds1,IID,26,False,False,False,False,False,False,0
e01-tds1,IID,27,False,False,False,False,False,False,0
e01-tds1,IID,28,False,False,False,True,False,False,0
e01-tds1,IID,29,True,False,False,False,False,False,0
e01-tds1,IID,30,False,False,False,True,False,False,0
e01-tds1,IID,31,False,False,False,False,False,False,0
e01-tds1,IID,32,False,False,False,False,False,False,0
e01-tds1,IID,33,False,False,False,False,False,False,0
e01-tds1,IID,34,False,False,False,True,False,False,0
e01-tds1,IID,35,False,False,False,False,False,False,0
e01-tds1,IID,36,False,False,False,False,False,False,0
e01-tds1,IID,37,False,False,False,False,False,False,0
e01-tds1,IID,38,False,False,False,False,False,False,0
e01-tds1,IID,39,False,False,False,False,False,False,0
e01-tds1,IID,40,False,False,False,False,False,False,0
e01-tds1,IID,41,False,False,False,True,False,False,0
e01-tds1,IID,42,False,False,False,False,False,False,0
e01-tds1,IID,43,False,False,False,True,False,False,0
e01-tds1,IID,44,False,False,False,False,False,False,0
e01-tds1,IID,45,False,False,False,False,False,False,0
e01-tds1,IID,46,False,False,False,True,False,False,0
e01-tds1,IID,47,False,False,False,False,False,False,0
e01-tds1,IID,48,False,False,False,False,False,False,0
e01-tds1,IID,49,False,False,False,False,False,False,0
e01-tds1,IID,50,False,False,False,False,False,False,0
e01-tds1,IID,51,False,False,False,False,False,False,0
e01-tds1,IID,52,False,False,False,False,False,False,0
e01-tds1,IID,53,False,False,False,False,False,False,0
e01-tds1,IID,54,False,False,False,False,False,False,0
e01-tds1,IID,55,False,False,False,False,False,False,0
e01-tds1,IID,56,False,False,False,False,False,False,0
e01-tds1,IID,57,False,False,False,False,False,False,0
e01-tds1,IID,58,False,False,False,False,False,False,0
e01-tds1,IID,59,False,False,False,True,False,False,0
e01-tds1,IID,60,False,False,False,False,False,False,0
e01-tds1,IID,61,False,False,False,False,False,False,0
e01-tds1,IID,62,False,False,False,False,False,False,0
e01-tds1,IID,63,False,False,False,False,False,False,0
e01-tds1,IID,64,False,False,False,False,False,False,0
e01-tds1,IID,65,False,False,False,False,False,False,0
e01-tds1,IID,66,False,False,False,False,False,False,0
e01-tds1,IID,67,False,False,False,False,False,False,0
e01-tds1,IID,68,False,False,False,False,False,False,0
e01-tds1,IID,69,False,False,False,False,False,False,0
e01-tds1,IID,70,False,False,False,False,False,False,0
e01-tds1,IID,71,False,False,False,False,False,False,0
e01-tds1,IID,72,False,False,False,False,False,False,0
e01-tds1,IID,73,False,False,False,False,False,False,0
e01-tds1,IID,74,False,False,False,False,False,False,0
e01-tds1,IID,75,False,False,False,False,False,False,0
e01-tds1,IID,76,False,False,False,False,False,False,0
e01-tds1,IID,77,False,False,False,False,False,False,0
e01-tds1,IID,78,False,False,False,False,False,False,0
e01-tds1,IID,79,False,False,False,True,False,False,0
e01-tds1,IID,80,False,False,False,False,False,False,0
e01-tds1,IID,81,False,False,False,False,False,False,0
e01-tds1,IID,82,False,False,False,False,False,False,0
e01-tds1,IID,83,False,False,False,False,False,False,0
e01-tds1,IID,84,False,False,False,False,False,False,0
e01-tds1,IID,85,False,False,False,True,False,False,0
e01-tds1,IID,86,False,False,False,False,False,False,0
e01-tds1,IID,87,False,False,False,False,False,False,0
e01-tds1,IID,88,False,False,False,False,False,False,0
e01-tds1,IID,89,False,False,False,True,False,False,0
e01-tds1,IID,90,False,False,False,False,False,False,0
e01-tds1,IID,91,False,False,False,False,False,False,0
e01-tds1,IID,92,False,False,False,False,False,False,0
e01-tds1,IID,93,False,False,False,False,False,False,0
e01-tds1,IID,94,False,False,False,False,False,False,0
e01-tds1,IID,95,False,False,False,False,False,False,0
e01-tds1,IID,96,False,False,False,True,False,False,0
e01-tds1,IID,97,False,False,False,False,False,False,0
e01-tds1,IID,98,False,False,False,False,False,False,0
e01-tds1,IID,99,False,False,False,False,False,False,0
e01-tds1,IID,100,False,False,False,False,False,False,0
e01-tds1,IID,101,False,False,False,False,False,False,0
e01-tds1,IID,102,False,False,False,False,False,False,0
e01-tds1,IID,103,False,False,False,False,False,False,0
e01-tds1,IID,104,False,False,False,False,False,False,0
e01-tds1,IID,105,False,False,False,False,False,False,0
e01-tds1,IID,106,False,False,False,False,False,False,0
e01-tds1,IID,107,False,False,False,True,False,False,0
e01-tds1,IID,108,False,False,False,False,False,False,0
e01-tds1,IID,109,False,False,False,False,False,False,0
e01-tds1,IID,110,False,False,False,False,False,False,0
e01-tds1,IID,111,False,False,False,False,False,False,0
e01-tds1,IID,112,False,False,False,False,False,False,0
e01-tds1,IID,113,False,False,False,False,False,False,0
e01-tds1,IID,114,False,False,False,False,False,False,0
e01-tds1,IID,115,False,False,False,False,False,False,0
e01-tds1,IID,116,False,False,False,False,False,False,0
e01-tds1,IID,117,False,False,False,False,False,False,0
e01-tds1,IID,118,False,False,False,False,False,False,0
e01-tds1,IID,119,False,False,False,False,False,False,0
e01-tds1,IID,120,False,False,False,False,False,False,0
e01-tds1,IID,121,False,False,False,True,False,False,0
e01-tds1,IID,122,False,False,False,False,False,False,0
e01-tds1,IID,123,False,False,False,False,False,False,0
e01-tds1,IID,124,False,False,False,False,False,False,0
e01-tds1,IID,125,False,False,False,False,False,False,0
e01-tds1,IID,126,False,False,False,True,False,False,0
e01-tds1,IID,127,False,False,False,False,False,False,0
e01-tds1,IID,128,False,False,False,True,False,False,0
e01-tds1,IID,129,False,False,False,False,False,False,0
e01-tds1,IID,130,False,False,False,True,False,False,0
e01-tds1,IID,131,False,False,False,False,False,False,0
e01-tds1,IID,132,False,False,False,False,False,False,0
e01-tds1,IID,133,False,False,False,False,False,False,0
e01-tds1,IID,134,False,False,False,False,False,False,0
e01-tds1,IID,135,False,False,False,False,False,False,0
e01-tds1,IID,136,False,False,False,False,False,False,0
e01-tds1,IID,137,False,False,False,True,False,False,0
e01-tds1,IID,138,False,False,False,False,False,False,0
e01-tds1,IID,139,False,False,False,False,False,False,0
e01-tds1,IID,140,False,False,False,False,False,False,0
e01-tds1,IID,141,False,False,False,True,False,False,0
e01-tds1,IID,142,False,False,False,False,False,False,0
e01-tds1,IID,143,False,False,False,False,False,False,0
e01-tds1,IID,144,False,False,False,True,False,False,0
e01-tds1,IID,145,False,False,False,False,False,False,0
e01-tds1,IID,146,False,False,False,True,False,False,0
e01-tds1,IID,147,False,False,False,False,False,False,0
e01-tds1,IID,148,False,False,False,False,False,False,0
e01-tds1,IID,149,False,False,False,False,False,False,0
e01-tds1,IID,150,False,False,False,False,False,False,0
e01-tds1,IID,151,False,False,False,True,False,False,0
e01-tds1,IID,152,False,False,False,False,False,False,0
e01-tds1,IID,153,False,False,False,False,False,False,0
e01-tds1,IID,154,False,False,False,False,False,False,0
e01-tds1,IID,155,False,False,False,True,False,False,0
e01-tds1,IID,156,False,False,False,False,False,False,0
